PARLIAMENTARY_CONSTITUENCY_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_NAME,WINNING_PARTY_MAIN,WINNING_PARTY
P001,PERLIS,PADANG BESAR,PN,PN - PAS
P002,PERLIS,KANGAR,PN,PN - PPBM
P003,PERLIS,ARAU,PN,PN - DIRECT
P004,KEDAH,LANGKAWI,PN,PN - PPBM
P005,KEDAH,JERLUN,PN,PN - PAS
P006,KEDAH,KUBANG PASU,PN,PN - PPBM
P007,KEDAH,PADANG TERAP,PN,PN - PAS
P008,KEDAH,POKOK SENA,PN,PN - PAS
P009,KEDAH,ALOR SETAR,PN,PN - PAS
P010,KEDAH,KUALA KEDAH,PN,PN - PAS
P011,KEDAH,PENDANG,PN,PN - PAS
P012,KEDAH,JERAI,PN,PN - PAS
P013,KEDAH,SIK,PN,PN - PAS
P014,KEDAH,MERBOK,PN,PN - PPBM
P015,KEDAH,SUNGAI PETANI,PH,PH - PKR
P016,KEDAH,BALING,PN,PN - PAS
P017,KEDAH,PADANG SERAI,PN,PN - PPBM
P018,KEDAH,KULIM-BANDAR BAHARU,PN,PN - PPBM
P019,KELANTAN,TUMPAT,PN,PN - PAS
P020,KELANTAN,PENGKALAN CHEPA,PN,PN - PAS
P021,KELANTAN,KOTA BHARU,PN,PN - PAS
P022,KELANTAN,PASIR MAS,PN,PN - PAS
P023,KELANTAN,RANTAU PANJANG,PN,PN - PAS
P024,KELANTAN,KUBANG KERIAN,PN,PN - PAS
P025,KELANTAN,BACHOK,PN,PN - PAS
P026,KELANTAN,KETEREH,PN,PN - PPBM
P027,KELANTAN,TANAH MERAH,PN,PN - PPBM
P028,KELANTAN,PASIR PUTEH,PN,PN - PAS
P029,KELANTAN,MACHANG,PN,PN - PPBM
P030,KELANTAN,JELI,PN,PN - PPBM
P031,KELANTAN,KUALA KRAI,PN,PN - PAS
P032,KELANTAN,GUA MUSANG,PN,PN - PPBM
P033,TERENGGANU,BESUT,PN,PN - PAS
P034,TERENGGANU,SETIU,PN,PN - PAS
P035,TERENGGANU,KUALA NERUS,PN,PN - PAS
P036,TERENGGANU,KUALA TERENGGANU,PN,PN - PAS
P037,TERENGGANU,MARANG,PN,PN - PAS
P038,TERENGGANU,HULU TERENGGANU,PN,PN - PPBM
P039,TERENGGANU,DUNGUN,PN,PN - PAS
P040,TERENGGANU,KEMAMAN,PN,PN - PAS
P041,P.PINANG,KEPALA BATAS,PN,PN - PAS
P042,P.PINANG,TASEK GELUGOR,PN,PN - PPBM
P043,P.PINANG,BAGAN,PH,PH - DAP
P044,P.PINANG,PERMATANG PAUH,PN,PN - PAS
P045,P.PINANG,BUKIT MERTAJAM,PH,PH - DAP
P046,P.PINANG,BATU KAWAN,PH,PH - DAP
P047,P.PINANG,NIBONG TEBAL,PH,PH - PKR
P048,P.PINANG,BUKIT BENDERA,PH,PH - DAP
P049,P.PINANG,TANJONG,PH,PH - DAP
P050,P.PINANG,JELUTONG,PH,PH - DAP
P051,P.PINANG,BUKIT GELUGOR,PH,PH - DAP
P052,P.PINANG,BAYAN BARU,PH,PH - PKR
