PARLIAMENTARY_CONSTITUENCY_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_NAME,WINNING_PARTY_MAIN,WINNING_PARTY
P069,PERAK,BAGAN DATOK,BN,BN - UMNO
P070,PERAK,TELOK INTAN,BN,BN - GERAKAN
P071,PERAK,TANJONG MALIM,BN,BN - MCA
P072,PAHANG,LIPIS,BN,BN - MCA
P073,PAHANG,RAUB,BN,BN - MCA
P074,PAHANG,JERANTUT,BN,BN - UMNO
P075,PAHANG,KUANTAN,BN,BN - UMNO
P076,PAHANG,PEKAN,BN,BN - UMNO
P077,PAHANG,MARAN,BN,BN - UMNO
P078,PAHANG,MENTEKAB,BN,BN - UMNO
P079,PAHANG,BENTUNG,BN,BN - MCA
P080,PAHANG,TEMERLUH,BN,BN - UMNO
P081,PAHANG,ROMPIN,BN,BN - UMNO
P082,SELANGOR,SABAK BERNAM,BN,BN - UMNO
P083,SELANGOR,TANJONG KARANG,BN,BN - UMNO
P084,SELANGOR,HULU SELANGOR,BN,BN - MIC
P085,SELANGOR,KUALA SELANGOR,BN,BN - UMNO
P086,SELANGOR,KAPAR,BN,BN - MIC
P087,SELANGOR,SELAYANG,BN,BN - UMNO
P088,SELANGOR,AMPANG JAYA,BN,BN - MCA
P089,SELANGOR,HULU LANGAT,BN,BN - MCA
P090,SELANGOR,PETALING JAYA,GR,GR - DAP
P091,SELANGOR,PUCHONG,GR,GR - DAP
P092,SELANGOR,SHAH ALAM,BN,BN - UMNO
P093,SELANGOR,KLANG,GR,GR - DAP
P094,SELANGOR,KUALA LANGAT,BN,BN - UMNO
P095,SELANGOR,SEPANG,BN,BN - UMNO
P096,KL,KEPONG,GR,GR - DAP
P097,KL,BATU,BN,BN - GERAKAN
P098,KL,TITIWANGSA,BN,BN - UMNO
P099,KL,BUKIT BINTANG,GR,GR - DAP
P100,KL,LEMBAH PANTAI,BN,BN - UMNO
P101,KL,SEPUTEH,GR,GR - DAP
P102,KL,SUNGAI BESI,GR,GR - DAP
P103,N9,JELEBU,BN,BN - UMNO
P104,N9,JEMPOL,BN,BN - UMNO
P105,N9,TAMPIN,BN,BN - UMNO
P106,N9,KUALA PILAH,BN,BN - UMNO
P107,N9,SEREMBAN,BN,BN - MCA
P108,N9,RASAH,BN,BN - MCA
P109,N9,TELOK KEMANG,BN,BN - MIC
P110,MELAKA,ALOR GAJAH,BN,BN - UMNO
P111,MELAKA,SELANDAR,BN,BN - MCA
P112,MELAKA,BATU BERENDAM,BN,BN - UMNO
P113,MELAKA,KOTA MELAKA,GR,GR - DAP
P114,MELAKA,JASIN,BN,BN - UMNO
P115,JOHOR,SEGAMAT,BN,BN - MIC
P116,JOHOR,LEDANG,BN,BN - UMNO
P117,JOHOR,PAGOH,BN,BN - UMNO
P118,JOHOR,LABIS,BN,BN - MCA
P119,JOHOR,MERSING,BN,BN - UMNO
P120,JOHOR,KLUANG,BN,BN - MCA
P121,JOHOR,PARIT SULONG,BN,BN - UMNO
P122,JOHOR,BAKRI,BN,BN - MCA
P123,JOHOR,MUAR,BN,BN - UMNO
P124,JOHOR,SRI GADING,BN,BN - UMNO
P125,JOHOR,BATU PAHAT,BN,BN - UMNO
P126,JOHOR,SUNGAI BENUT,BN,BN - UMNO
P127,JOHOR,SENAI,BN,BN - MCA
P128,JOHOR,KOTA TINGGI,BN,BN - UMNO
P129,JOHOR,TEBRAU,BN,BN - UMNO
P130,JOHOR,JOHOR BAHRU,BN,BN - UMNO
P131,JOHOR,PULAI,BN,BN - UMNO
P132,JOHOR,PONTIAN,BN,BN - MCA
P133,LABUAN,LABUAN,BN,BN - UMNO
P134,SABAH,MARUDU,BN,BN - USNO
P135,SABAH,BANDAU,GR,GR - PBS
P136,SABAH,KOTA BELUD,GR,GR - PBS
P137,SABAH,TUARAN,GR,GR - PBS
P138,SABAH,KINABALU,GR,GR - PBS
P139,SABAH,JAMBONGAN,GR,GR - PBS
P140,SABAH,SANDAKAN,GR,GR - PBS
P141,SABAH,KINABATANGAN,BN,BN - USNO
P142,SABAH,KENINGAU,GR,GR - PBS
P143,SABAH,PENAMPANG,GR,GR - PBS
P144,SABAH,GAYA,GR,GR - PBS
P145,SABAH,TANJONG ARU,GR,GR - PBS
P146,SABAH,PAPAR,BN,BN - USNO
P147,SABAH,KIMANIS,GR,GR - PBS
P148,SABAH,LIMBAWANG,BN,BN - USNO
P149,SABAH,PADAS,GR,GR - PBS
P150,SABAH,PENSIANGAN,GR,GR - PBS
P151,SABAH,TAWAU,GR,GR - PBS
P152,SABAH,SILAM,BN,BN - USNO
P153,SABAH,SEMPORNA,BN,BN - USNO
P154,SARAWAK,MAS GADING,BN,BN - SNAP
P155,SARAWAK,SANTUBONG,BN,BN - PBB
P156,SARAWAK,PETRA JAYA,BN,BN - PBB
P157,SARAWAK,BANDAR KUCHING,GR,GR - DAP
P158,SARAWAK,PADAWAN,BN,BN - SUPP
P159,SARAWAK,KOTA SAMARAHAN,BN,BN - PBB
P160,SARAWAK,SERIAN,INDEPENDENT,INDEPENDENT - ROOSTER
P161,SARAWAK,BATANG SADONG,BN,BN - PBB
P162,SARAWAK,BATANG LUPAR,BN,BN - PBB
P163,SARAWAK,SRI AMAN,BN,BN - PBDS
P164,SARAWAK,LUBOK ANTU,BN,BN - PBDS
P165,SARAWAK,BETONG,BN,BN - PBB
P166,SARAWAK,SARATOK,BN,BN - SNAP
P167,SARAWAK,KUALA RAJANG,BN,BN - PBB
P168,SARAWAK,SARIKEI,BN,BN - SUPP
P169,SARAWAK,JULAU,BN,BN - PBDS
P170,SARAWAK,KANOWIT,BN,BN - PBDS
P171,SARAWAK,LANANG,GR,GR - DAP
P172,SARAWAK,SIBU,BN,BN - SUPP
P173,SARAWAK,MUKAH,BN,BN - PBB
P174,SARAWAK,SELANGAU,INDEPENDENT,INDEPENDENT - ROOSTER
P175,SARAWAK,KAPIT,BN,BN - PBB
P176,SARAWAK,HULU RAJANG,INDEPENDENT,INDEPENDENT - ROOSTER
P177,SARAWAK,BINTULU,BN,BN - SNAP
P178,SARAWAK,MIRI,BN,BN - SUPP
P179,SARAWAK,BARAM,INDEPENDENT,INDEPENDENT - UMBRELLA
P180,SARAWAK,BUKIT MAS,BN,BN - PBB
