PARLIAMENTARY_CONSTITUENCY_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_NAME,WINNING_PARTY_MAIN,WINNING_PARTY
P001,PERLIS,KANGAR,BN,BN - UMNO
P002,PERLIS,ARAU,BN,BN - UMNO
P003,KEDAH,JERLUN - LANGKAWI,BN,BN - UMNO
P004,KEDAH,KUBANG PASU,BN,BN - UMNO
P005,KEDAH,PADANG TERAP,BN,BN - UMNO
P006,KEDAH,KOTA SETAR,BN,BN - UMNO
P007,KEDAH,ALOR SETAR,BN,BN - MCA
P008,KEDAH,KUALA KEDAH,BN,BN - UMNO
P009,KEDAH,PENDANG,BN,BN - UMNO
P010,KEDAH,JERAI,BN,BN - UMNO
P011,KEDAH,MERBOK,BN,BN - UMNO
P012,KEDAH,SIK,BN,BN - UMNO
P013,KEDAH,BALING,BN,BN - UMNO
P014,KEDAH,SUNGAI PETANI,BN,BN - UMNO
P015,KEDAH,PADANG SERAI,BN,BN - MCA
P016,KEDAH,KULIM - BANDAR BAHARU,BN,BN - UMNO
P017,KELANTAN,TUMPAT,APU,APU - PAS
P018,KELANTAN,PENGKALAN CHEPA,APU,APU - PAS
P019,KELANTAN,KOTA BAHARU,S46,S46
P020,KELANTAN,PASIR MAS,S46,S46
P021,KELANTAN,RANTAU PANJANG,APU,APU - PAS
P022,KELANTAN,NILAM PURI,APU,APU - PAS
P023,KELANTAN,BACHOK,APU,APU - PAS
P024,KELANTAN,PASIR PUTEH,S46,S46
P025,KELANTAN,KOK LANAS,S46,S46
P026,KELANTAN,TANAH MERAH,S46,S46
P027,KELANTAN,MACHANG,S46,S46
P028,KELANTAN,KUALA KRAI,APU,APU - PAS
P029,KELANTAN,GUA MUSANG,S46,S46
P030,TERENGGANU,BESUT,BN,BN - UMNO
P031,TERENGGANU,SETIU,BN,BN - UMNO
P032,TERENGGANU,KUALA NERUS,BN,BN - UMNO
P033,TERENGGANU,KUALA TERENGGANU,S46,S46
P034,TERENGGANU,MARANG,APU,APU - PAS
P035,TERENGGANU,HULU TERENGGANU,BN,BN - UMNO
P036,TERENGGANU,DUNGUN,BN,BN - UMNO
P037,TERENGGANU,KEMAMAN,BN,BN - UMNO
P038,P.PINANG,KEPALA BATAS,BN,BN - UMNO
P039,P.PINANG,TASEK GELUGOR,BN,BN - UMNO
P040,P.PINANG,BAGAN,GR,GR - DAP
P041,P.PINANG,PERMATANG PAUH,BN,BN - UMNO
P042,P.PINANG,BUKIT MERTAJAM,GR,GR - DAP
P043,P.PINANG,NIBONG TEBAL,BN,BN - GERAKAN
P044,P.PINANG,BUKIT BENDERA,GR,GR - DAP
P045,P.PINANG,TANJONG,GR,GR - DAP
P046,P.PINANG,JELUTONG,GR,GR - DAP
P047,P.PINANG,BAYAN BARU,GR,GR - DAP
P048,P.PINANG,BALIK PULAU,BN,BN - UMNO
P049,PERAK,GERIK,BN,BN - UMNO
P050,PERAK,LARUT,BN,BN - UMNO
P051,PERAK,PARIT BUNTAR,BN,BN - UMNO
P052,PERAK,BAGAN SERAI,BN,BN - UMNO
P053,PERAK,BUKIT GANTANG,BN,BN - UMNO
P054,PERAK,TAIPING,BN,BN - GERAKAN
P055,PERAK,TASEK CHENDEROH,BN,BN - UMNO
P056,PERAK,SUNGAI SIPUT,BN,BN - MIC
P057,PERAK,TAMBUN,BN,BN - UMNO
P058,PERAK,PASIR PINJI,GR,GR - DAP
P059,PERAK,IPOH,GR,GR - DAP
P060,PERAK,BATU GAJAH,GR,GR - DAP
P061,PERAK,KUALA KANGSAR,BN,BN - UMNO
P062,PERAK,BERUAS,BN,BN - GERAKAN
P063,PERAK,PARIT,BN,BN - UMNO
P064,PERAK,GOPENG,BN,BN - MCA
P065,PERAK,KAMPAR,GR,GR - DAP
P066,PERAK,TAPAH,BN,BN - MIC
P067,PERAK,PASIR SALAK,BN,BN - UMNO
P068,PERAK,LUMUT,BN,BN - MCA
