PARLIAMENTARY_CONSTITUENCY_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_NAME,WINNING_PARTY_MAIN,WINNING_PARTY
P001,PERLIS,KANGAR,BN ,BN - UMNO
P002,PERLIS,ARAU,BN ,BN - UMNO
P003,KEDAH,JERLUN-LANGKAWI,BN ,BN - UMNO
P004,KEDAH,KUBANG PASU,BN ,BN - UMNO
P005,KEDAH,PADANG TERAP,BN ,BN - UMNO
P006,KEDAH,KUALA KEDAH,BN ,BN - UMNO
P007,KEDAH,ALOR SETAR,BN ,BN - MCA
P008,KEDAH,KOTA SETAR,PAS,PAS
P009,KEDAH,ULU MUDA,BN ,BN - UMNO
P010,KEDAH,BALING,PAS,PAS
P011,KEDAH,JERAI,BN ,BN - UMNO
P012,KEDAH,KUALA MUDA,BN ,BN - UMNO
P013,KEDAH,SUNGAI PETANI,BN ,BN - UMNO
P014,KEDAH,PADANG SERAI,BN ,BN - MCA
P015,KEDAH,KULIM-BANDAR BAHARU,BN ,BN - UMNO
P016,KELANTAN,TUMPAT,BN ,BN - UMNO
P017,KELANTAN,PENGKALAN CHEPA,PAS,PAS
P018,KELANTAN,PASIR MAS,BN ,BN - UMNO
P019,KELANTAN,KOTA BAHARU,BN ,BN - UMNO
P020,KELANTAN,BACHOK,PAS,PAS
P021,KELANTAN,RANTAU PANJANG,BN ,BN - UMNO
P022,KELANTAN,NILAM PURI,BN ,BN - UMNO
P023,KELANTAN,TANAH MERAH,BN ,BN - UMNO
P024,KELANTAN,MACHANG,BN ,BN - UMNO
P025,KELANTAN,PASIR PUTEH,BN ,BN - UMNO
P026,KELANTAN,KUALA KERAI,BN ,BN - UMNO
P027,KELANTAN,ULU KELANTAN,BN ,BN - UMNO
P028,TERENGGANU,BESUT,BN ,BN - UMNO
P029,TERENGGANU,ULU NERUS,BN ,BN - UMNO
P030,TERENGGANU,ULU TRENGGANU,BN ,BN - UMNO
P031,TERENGGANU,KUALA NERUS,BN ,BN - UMNO
P032,TERENGGANU,KUALA TRENGGANU,BN ,BN - UMNO
P033,TERENGGANU,DUNGUN,BN ,BN - UMNO
P034,TERENGGANU,KEMAMAN,BN ,BN - UMNO
P035,P.PINANG,KEPALA BATAS,BN ,BN - UMNO
P036,P.PINANG,MATA KUCHING,BN ,BN - MCA
P037,P.PINANG,PERMATANG PAUH,PAS,PAS
P038,P.PINANG,BUKIT MERTAJAM,PAS,DAP
P039,P.PINANG,NIBONG TEBAL,BN ,BN - GERAKAN
P040,P.PINANG,BALIK PULAU,BN ,BN - UMNO
P041,P.PINANG,BUKIT BENDERA,PAS,DAP
P042,P.PINANG,TANJONG,PAS,DAP
P043,P.PINANG,JELUTONG,PAS,DAP
P044,PERAK,GERIK,BN ,BN - UMNO
P045,PERAK,LARUT,BN ,BN - UMNO
P046,PERAK,PARIT BUNTAR,BN ,BN - UMNO
P047,PERAK,BAGAN SERAI,BN ,BN - UMNO
P048,PERAK,SUNGAI SIPUT,BN ,BN - MIC
P049,PERAK,TAIPING,BN ,BN - GERAKAN
P050,PERAK,MATANG,BN ,BN - UMNO
P051,PERAK,PADANG RENGAS,BN ,BN - UMNO
P052,PERAK,KUALA KANGSAR,BN ,BN - UMNO
P053,PERAK,KINTA,BN ,BN - MCA
P054,PERAK,IPOH,PAS,DAP
P055,PERAK,MENGLEMBU,PAS,DAP
P056,PERAK,BERUAS,PAS,DAP
P057,PERAK,PARIT,BN ,BN - UMNO
P058,PERAK,BATU GAJAH,PAS,DAP
P059,PERAK,BATANG PADANG,BN ,BN - UMNO
P060,PERAK,LUMUT,BN ,BN - MCA
P061,PERAK,HILIR PERAK,BN ,BN - UMNO
P062,PERAK,TELOK ANSON,BN ,BN - GERAKAN
P063,PERAK,TANJONG MALIM,BN ,BN - MCA
P064,PERAK,BAGAN DATOK,BN ,BN - DIRECT
P065,PAHANG,LIPIS,BN ,BN - UMNO
