PARLIAMENTARY_CONSTITUENCY_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_NAME,WINNING_PARTY_MAIN,WINNING_PARTY
P067,PAHANG,KUANTAN,BN,BN - UMNO
P068,PAHANG,RAUB,BN,BN - UMNO
P069,PAHANG,MARAN,BN,BN - UMNO
P070,PAHANG,BENTONG,BN,BN - MCA
P071,PAHANG,PEKAN,BN,BN - UMNO
P072,PAHANG,TEMERLOH,BN,BN - UMNO
P073,SELANGOR,SABAK BERNAM,BN,BN - UMNO
P074,SELANGOR,TANJONG KARANG,BN,BN - UMNO
P075,SELANGOR,ULU SELANGOR,BN,BN - MCA
P076,SELANGOR,KUALA SELANGOR,BN,BN - UMNO
P077,SELANGOR,SELAYANG,BN,BN - MCA
P078,SELANGOR,ULU LANGAT,BN,BN - MCA
P079,SELANGOR,PELABOHAN KELANG,BN,BN - MIC
P080,SELANGOR,SHAH ALAM,BN,BN - MCA
P081,SELANGOR,PETALING,DAP,DAP
P082,SELANGOR,KUALA LANGAT,BN,BN - UMNO
P083,SELANGOR,SEPANG,BN,BN - UMNO
P084,WILAYAH PERSEKUTUAN KUALA LUMPUR,KEPONG,PEKEMAS,PEKEMAS
P085,WILAYAH PERSEKUTUAN KUALA LUMPUR,SETAPAK,BN,BN - UMNO
P086,WILAYAH PERSEKUTUAN KUALA LUMPUR,DAMANSARA,BN,BN - MIC
P087,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR BANDAR,DAP,DAP
P088,WILAYAH PERSEKUTUAN KUALA LUMPUR,SUNGAI BESI,DAP,DAP
P089,NEGERI SEMBILAN,JELEBU,BN,BN - UMNO
P090,NEGERI SEMBILAN,MANTIN,BN,BN - MCA
P091,NEGERI SEMBILAN,SEREMBAN,DAP,DAP
P092,NEGERI SEMBILAN,KUALA PILAH,BN,BN - UMNO
P093,NEGERI SEMBILAN,TELOK KEMANG,BN,BN - MIC
P094,NEGERI SEMBILAN,TAMPIN,BN,BN - UMNO
P095,MELAKA,ALOR GAJAH,BN,BN - UMNO
P096,MELAKA,JASIN,BN,BN - UMNO
P097,MELAKA,BATU BERENDAM,BN,BN - MCA
P098,MELAKA,KOTA MELAKA,DAP,DAP
P099,JOHOR,LABIS,BN,BN - UMNO
P100,JOHOR,SEGAMAT,BN,BN - MCA
P101,JOHOR,KELUANG,BN,BN - MCA
P102,JOHOR,TENGGAROH,BN,BN - UMNO
P103,JOHOR,LEDANG,BN,BN - UMNO
P104,JOHOR,PAGOH,BN,BN - UMNO
P105,JOHOR,AYER HITAM,BN,BN - MCA
P106,JOHOR,MUAR,BN,BN - MCA
P107,JOHOR,RENGGAM,BN,BN - MCA
P108,JOHOR,PANTI,BN,BN - UMNO
P109,JOHOR,SRI GADING,BN,BN - UMNO
P110,JOHOR,SEMERAH,BN,BN - UMNO
P111,JOHOR,BATU PAHAT,BN,BN - UMNO
P112,JOHOR,PONTIAN,BN,BN - UMNO
P113,JOHOR,PULAI,BN,BN - UMNO
P114,JOHOR,JOHOR BAHRU,BN,BN - UMNO
P115,SABAH,MARUDU,BN,BN - USNO
P116,SABAH,BANDAU,BN,BN - USNO
P117,SABAH,KOTA BELUD,BN,BN - USNO
P118,SABAH,LABUK SUGUT,BN,BN - USNO
P119,SABAH,TUARAN,BN,BN - USNO
P120,SABAH,KINABALU,BN,BN - USNO
P121,SABAH,GAYA,BN,BN - SCA
P122,SABAH,PENAMPANG,BN,BN - USNO
P123,SABAH,SANDAKAN,BN,BN - SCA
P124,SABAH,KINABATANGAN,BN,BN - USNO
P125,SABAH,KIMANIS,BN,BN - USNO
P126,SABAH,HILIR PADAS,BN,BN - USNO
P127,SABAH,KENINGAU,BN,BN - USNO
P128,SABAH,SILAM,BN,BN - USNO
P129,SABAH,ULU PADAS,BN,BN - USNO
P130,SABAH,TAWAU,BN,BN - SCA
P131,SARAWAK,BAU-LUNDU,SNAP,SNAP
P132,SARAWAK,BANDAR KUCHING,BN,BN - SUPP
P133,SARAWAK,SANTUBONG,BN,BN - PBB
P134,SARAWAK,SAMARAHAN,BN,BN - PBB
P135,SARAWAK,PADAWAN,BN,BN - SUPP
P136,SARAWAK,SERIAN,BN,BN - SUPP
P137,SARAWAK,SIMUNJAN,BN,BN - PBB
P138,SARAWAK,BATANG LUPAR,SNAP,SNAP
P139,SARAWAK,LUBOK ANTU,SNAP,SNAP
P140,SARAWAK,BETONG,BN,BN - PBB
P141,SARAWAK,SARATOK,SNAP,SNAP
P142,SARAWAK,SARIKEI,BN,BN - SUPP
P143,SARAWAK,PAYANG,BN,BN - PBB
P144,SARAWAK,BANDAR SIBU,BN,BN - SUPP
P145,SARAWAK,RAJANG,BN,BN - SUPP
P146,SARAWAK,MUKAH,BN,BN - PBB
P147,SARAWAK,JULAU,SNAP,SNAP
P148,SARAWAK,KANOWIT,SNAP,SNAP
P149,SARAWAK,KAPIT,BN,BN - PBB
P150,SARAWAK,ULU RAJANG,SNAP,SNAP
P151,SARAWAK,BINTULU,SNAP,SNAP
P152,SARAWAK,MIRI-SUBIS,BN,BN - SUPP
P153,SARAWAK,BARAM,SNAP,SNAP
P154,SARAWAK,LIMBANG-LAWAS,BN,BN - PBB
