PARLIAMENTARY_CONSTITUENCY_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_NAME,WINNING_PARTY_MAIN,WINNING_PARTY
P001,PERLIS,KANGAR,BN,BN - UMNO
P002,PERLIS,ARAU,BN,BN - UMNO
P003,KEDAH,JERLUN-LANGKAWI,BN,BN - UMNO
P004,KEDAH,KUBANG PASU,BN,BN - UMNO
P005,KEDAH,PADANG TERAP,BN,BN - PAS
P006,KEDAH,KUALA KEDAH,BN,BN - UMNO
P007,KEDAH,ALOR SETAR,BN,BN - MCA
P008,KEDAH,KOTA SETAR,BN,BN - PAS
P009,KEDAH,ULU MUDA,BN,BN - PAS
P010,KEDAH,BALING,BN,BN - UMNO
P011,KEDAH,JERAI,BN,BN - UMNO
P012,KEDAH,KUALA MUDA,BN,BN - UMNO
P013,KEDAH,SUNGAI PETANI,BN,BN - UMNO
P014,KEDAH,PADANG SERAI,BN,BN - MCA
P015,KEDAH,KULIM-BANDAR BAHARU,BN,BN - UMNO
P016,KELANTAN,TUMPAT,BN,BN - UMNO
P017,KELANTAN,PENGKALAN CHEPA,BN,BN - PAS
P018,KELANTAN,PASIR MAS,BN,BN - PAS
P019,KELANTAN,KOTA BAHARU,BN,BN - UMNO
P020,KELANTAN,BACHOK,BN,BN - PAS
P021,KELANTAN,RANTAU PANJANG,BN,BN - PAS
P022,KELANTAN,NILAM PURI,BN,BN - PAS
P023,KELANTAN,TANAH MERAH,BN,BN - UMNO
P024,KELANTAN,MACHANG,BN,BN - UMNO
P025,KELANTAN,PASIR PUTEH,BN,BN - PAS
P026,KELANTAN,KUALA KERAI,BN,BN - PAS
P027,KELANTAN,ULU KELANTAN,BN,BN - UMNO
P028,TRENGGANU,BESUT,BN,BN - UMNO
P029,TRENGGANU,ULU NERUS,BN,BN - PAS
P030,TRENGGANU,ULU TRENGGANU,BN,BN - UMNO
P031,TRENGGANU,KUALA NERUS,BN,BN - UMNO
P032,TRENGGANU,KUALA TRENGGANU,BN,BN - PAS
P033,TRENGGANU,DUNGUN,BN,BN - PAS
P034,TRENGGANU,KEMAMAN,BN,BN - UMNO
P035,PULAU PINANG,KEPALA BATAS,BN,BN - UMNO
P036,PULAU PINANG,MATA KUCHING,BN,BN - MCA
P037,PULAU PINANG,PERMATANG PAUH,BN,BN - UMNO
P038,PULAU PINANG,BUKIT MERTAJAM,BN,BN - MCA
P039,PULAU PINANG,NIBONG TEBAL,BN,BN - GERAKAN
P040,PULAU PINANG,BALIK PULAU,BN,BN - UMNO
P041,PULAU PINANG,BUKIT BENDERA,BN,BN - MCA
P042,PULAU PINANG,TANJONG,BN,BN - GERAKAN
P043,PULAU PINANG,JELUTONG,BN,BN - GERAKAN
P044,PERAK,GERIK,BN,BN - UMNO
P045,PERAK,LARUT,BN,BN - UMNO
P046,PERAK,PARIT BUNTAR,BN,BN - UMNO
P047,PERAK,BAGAN SERAI,BN,BN - UMNO
P048,PERAK,SUNGAI SIPUT,BN,BN - MIC
P049,PERAK,TAIPING,BN,BN - GERAKAN
P050,PERAK,MATANG,BN,BN - UMNO
P051,PERAK,PADANG RENGAS,BN,BN - UMNO
P052,PERAK,KUALA KANGSAR,BN,BN - UMNO
P053,PERAK,KINTA,DAP,DAP
P054,PERAK,IPOH,DAP,DAP
P055,PERAK,MENGLEMBU,DAP,DAP
P056,PERAK,BERUAS,BN,BN - PPP
P057,PERAK,PARIT,BN,BN - UMNO
P058,PERAK,BATU GAJAH,DAP,DAP
P059,PERAK,BATANG PADANG,BN,BN - UMNO
P060,PERAK,LUMUT,BN,BN - MCA
P061,PERAK,HILIR PERAK,BN,BN - UMNO
P062,PERAK,TELOK ANSON,BN,BN - GERAKAN
P063,PERAK,TANJONG MALIM,BN,BN - MCA
P064,PERAK,BAGAN DATOK,BN,BN - PAS
P065,PAHANG,LIPIS,BN,BN - UMNO
P066,PAHANG,JERANTUT,BN,BN - UMNO
