PARLIAMENTARY_CONSTITUENCY_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_NAME,WINNING_PARTY_MAIN,WINNING_PARTY
P001,PERLIS,KANGAR,BN,BN - UMNO
P002,PERLIS,ARAU,BN,BN - UMNO
P003,KEDAH,JERLUN - LANGKAWI,BN,BN - UMNO
P004,KEDAH,KUBANG PASU,BN,BN - UMNO
P005,KEDAH,PADANG TERAP,BN,BN - UMNO
P006,KEDAH,KOTA SETAR,BN,BN - UMNO
P007,KEDAH,ALOR SETAR,BN,BN - MCA
P008,KEDAH,KUALA KEDAH,BN,BN - UMNO
P009,KEDAH,PENDANG,BN,BN - UMNO
P010,KEDAH,JERAI,BN,BN - UMNO
P011,KEDAH,MERBOK,BN,BN - UMNO
P012,KEDAH,SIK,BN,BN - UMNO
P013,KEDAH,BALING,BN,BN - UMNO
P014,KEDAH,SUNGAI PETANI,BN,BN - UMNO
P015,KEDAH,PADANG SERAI,BN,BN - MCA
P016,KEDAH,KULIM - BANDAR BAHARU,BN,BN - UMNO
P017,KELANTAN,TUMPAT,BN,BN - UMNO
P018,KELANTAN,PENGKALAN CHEPA,PAS,PAS
P019,KELANTAN,KOTA BAHARU,BN,BN - UMNO
P020,KELANTAN,PASIR MAS,BN,BN - UMNO
P021,KELANTAN,RANTAU PANJANG,BN,BN - UMNO
P022,KELANTAN,NILAM PURI,BN,BN - UMNO
P023,KELANTAN,BACHOK,BN,BN - HAMIM
P024,KELANTAN,PASIR PUTEH,BN,BN - UMNO
P025,KELANTAN,KOK LANAS,BN,BN - UMNO
P026,KELANTAN,TANAH MERAH,BN,BN - UMNO
P027,KELANTAN,MACHANG,BN,BN - UMNO
P028,KELANTAN,KUALA KRAI,BN,BN - UMNO
P029,KELANTAN,GUA MUSANG,BN,BN - UMNO
P030,TERENGGANU,BESUT,BN,BN - UMNO
P031,TERENGGANU,SETIU,BN,BN - UMNO
P032,TERENGGANU,KUALA NERUS,BN,BN - UMNO
P033,TERENGGANU,KUALA TERENGGANU,BN,BN - UMNO
P034,TERENGGANU,MARANG,BN,BN - UMNO
P035,TERENGGANU,HULU TERENGGANU,BN,BN - UMNO
P036,TERENGGANU,DUNGUN,BN,BN - UMNO
P037,TERENGGANU,KEMAMAN,BN,BN - UMNO
P038,P.PINANG,KEPALA BATAS,BN,BN - UMNO
P039,P.PINANG,TASEK GELUGOR,BN,BN - UMNO
P040,P.PINANG,BAGAN,DAP,DAP
P041,P.PINANG,PERMATANG PAUH,BN,BN - UMNO
P042,P.PINANG,BUKIT MERTAJAM,DAP,DAP
P043,P.PINANG,NIBONG TEBAL,BN,BN - GERAKAN
P044,P.PINANG,BUKIT BENDERA,DAP,DAP
P045,P.PINANG,TANJONG,DAP,DAP
P046,P.PINANG,JELUTONG,DAP,DAP
P047,P.PINANG,BAYAN BARU,DAP,DAP
P048,P.PINANG,BALIK PULAU,BN,BN - UMNO
P049,PERAK,GERIK,BN,BN - UMNO
P050,PERAK,LARUT,BN,BN - UMNO
P051,PERAK,PARIT BUNTAR,BN,BN - UMNO
P052,PERAK,BAGAN SERAI,BN,BN - UMNO
P053,PERAK,BUKIT GANTANG,BN,BN - UMNO
P054,PERAK,TAIPING,BN,BN - GERAKAN
P055,PERAK,TASEK CHENDEROH,BN,BN - UMNO
P056,PERAK,SUNGAI SIPUT,BN,BN - MIC
P057,PERAK,TAMBUN,BN,BN - UMNO
P058,PERAK,PASIR PINJI,DAP,DAP
P059,PERAK,IPOH,DAP,DAP
P060,PERAK,BATU GAJAH,DAP,DAP
P061,PERAK,KUALA KANGSAR,BN,BN - UMNO
P062,PERAK,BERUAS,BN,BN - GERAKAN
P063,PERAK,PARIT,BN,BN - UMNO
P064,PERAK,GOPENG,BN,BN - MCA
P065,PERAK,KAMPAR,DAP,DAP
P066,PERAK,TAPAH,BN,BN - MIC
P067,PERAK,PASIR SALAK,BN,BN - UMNO
